index,true_label,Oval,Rectangle,Round,Square
0,Square,0.15496405959129333,0.06935086101293564,0.10583770275115967,0.6698473691940308
1,Rectangle,0.1879815012216568,0.35356375575065613,0.0707240030169487,0.38773074746131897
2,Oval,0.3299317955970764,0.10626144707202911,0.13671448826789856,0.4270922541618347
3,Round,0.09942253679037094,0.01733567751944065,0.6697743535041809,0.21346738934516907
4,Oval,0.4313901364803314,0.10711371898651123,0.05935748293995857,0.4021386504173279
5,Round,0.31545060873031616,0.26123958826065063,0.13303034007549286,0.29027941823005676
6,Rectangle,0.0855114683508873,0.3731689751148224,0.3571103513240814,0.1842091828584671
7,Square,0.0823553130030632,0.012248680926859379,0.028701480478048325,0.8766945004463196
8,Rectangle,0.03525436669588089,0.9180180430412292,0.029878610745072365,0.01684892177581787
9,Round,0.08190789073705673,0.010040674358606339,0.8717503547668457,0.03630105033516884
10,Square,0.04083406925201416,0.05590879172086716,0.12027855217456818,0.7829785346984863
11,Round,0.0953807681798935,0.04218002036213875,0.6538761258125305,0.20856305956840515
12,Round,0.69585120677948,0.011803386732935905,0.27557283639907837,0.01677257940173149
13,Oval,0.9660447239875793,0.02206052839756012,0.010141665115952492,0.0017530883196741343
14,Rectangle,0.2143489122390747,0.33815187215805054,0.1708594709634781,0.27663975954055786
15,Round,0.09754487127065659,0.0074021280743181705,0.8568961024284363,0.038156908005476
16,Oval,0.7517457008361816,0.05442841723561287,0.18322953581809998,0.01059635728597641
17,Oval,0.48217660188674927,0.1434447318315506,0.01450669951736927,0.3598719537258148
18,Rectangle,0.029001429677009583,0.7757124304771423,0.05651097744703293,0.1387750655412674
19,Oval,0.5636060237884521,0.09106142073869705,0.2519964873790741,0.09333600103855133
20,Square,0.13243508338928223,0.43058711290359497,0.03558674827218056,0.40139108896255493
21,Round,0.22591331601142883,0.06299622356891632,0.6359637975692749,0.07512667775154114
22,Round,0.14115937054157257,0.08515135943889618,0.7312827706336975,0.04240648075938225
23,Square,0.32753416895866394,0.11111529171466827,0.044730059802532196,0.5166204571723938
24,Round,0.06372163444757462,0.7552642226219177,0.13161401450634003,0.04940014332532883
25,Rectangle,0.05127418041229248,0.4779894948005676,0.37237608432769775,0.09836030006408691
26,Round,0.15809917449951172,0.32071420550346375,0.3032107949256897,0.21797582507133484
27,Square,0.022192329168319702,0.021877633407711983,0.007627143058925867,0.9483029246330261
28,Rectangle,0.08361954987049103,0.48158541321754456,0.27915501594543457,0.15563997626304626
29,Round,0.3998290002346039,0.08193980157375336,0.4082522392272949,0.10997895896434784
30,Round,0.052275650203228,0.03358723223209381,0.8793274164199829,0.0348096564412117
31,Oval,0.9434986114501953,0.02654225006699562,0.0228117648512125,0.007147383876144886
32,Square,0.005946503020823002,0.017513427883386612,0.005249552894383669,0.9712904691696167
33,Round,0.06126377731561661,0.06981009989976883,0.8599191904067993,0.009006952866911888
34,Rectangle,0.17379893362522125,0.5053970217704773,0.07614731788635254,0.2446567267179489
35,Oval,0.9885126352310181,0.008904676884412766,0.0009216234320774674,0.0016610079910606146
36,Oval,0.7938361763954163,0.016661325469613075,0.06098337844014168,0.12851914763450623
37,Oval,0.6458972692489624,0.31134361028671265,0.033723317086696625,0.009035755880177021
38,Square,0.18946918845176697,0.14238783717155457,0.23719581961631775,0.4309472143650055
39,Oval,0.8527060747146606,0.06131267547607422,0.030890505760908127,0.05509072542190552
40,Square,0.3168947398662567,0.11273310333490372,0.2822246253490448,0.28814756870269775
41,Round,0.11865367740392685,0.591396152973175,0.09486718475818634,0.19508300721645355
42,Oval,0.9222181439399719,0.022002581506967545,0.04249071702361107,0.01328849047422409
43,Square,0.052464187145233154,0.04929248243570328,0.7654317617416382,0.13281160593032837
44,Rectangle,0.09323713928461075,0.40042418241500854,0.1661926507949829,0.340146005153656
45,Square,0.07241468876600266,0.04706642031669617,0.1729149967432022,0.7076038718223572
46,Oval,0.7027074694633484,0.06821899116039276,0.03100324235856533,0.19807031750679016
47,Round,0.11519236862659454,0.16041621565818787,0.6732172966003418,0.05117408186197281
48,Square,0.07557620108127594,0.061834145337343216,0.015596283599734306,0.8469933271408081
49,Square,0.22436007857322693,0.26423120498657227,0.08711574226617813,0.4242929518222809
50,Round,0.4241737425327301,0.08482996374368668,0.3626265227794647,0.12836973369121552
51,Round,0.29063525795936584,0.3694172203540802,0.2988585829734802,0.041088949888944626
52,Rectangle,0.10495571792125702,0.40291982889175415,0.13912054896354675,0.35300391912460327
53,Square,0.2685241401195526,0.26594480872154236,0.06677399575710297,0.39875704050064087
54,Square,0.06474407762289047,0.07875706255435944,0.04577234759926796,0.810726523399353
55,Round,0.06903646886348724,0.1657690554857254,0.6902165412902832,0.07497798651456833
56,Round,0.02491561695933342,0.06085706874728203,0.8687429428100586,0.04548438638448715
57,Rectangle,0.0730135515332222,0.2481726109981537,0.06788201630115509,0.6109318137168884
58,Round,0.014293489046394825,0.002972785383462906,0.9768328666687012,0.005900749005377293
59,Square,0.22249385714530945,0.053572796285152435,0.04114469140768051,0.6827886700630188
60,Oval,0.5611854791641235,0.281850129365921,0.14813819527626038,0.008826271630823612
61,Square,0.3501407206058502,0.09395559132099152,0.09922494739294052,0.4566787779331207
62,Square,0.1729087233543396,0.31698113679885864,0.16104255616664886,0.3490675985813141
63,Round,0.44348111748695374,0.13217370212078094,0.37261122465133667,0.05173392966389656
64,Rectangle,0.2181781530380249,0.7013107538223267,0.054501015692949295,0.026010144501924515
65,Rectangle,0.22500507533550262,0.531100869178772,0.026407495141029358,0.21748650074005127
66,Oval,0.2707224190235138,0.08009129762649536,0.4636227488517761,0.18556351959705353
67,Oval,0.7615424394607544,0.06247099116444588,0.10700225830078125,0.06898431479930878
68,Square,0.6411768198013306,0.13296952843666077,0.015072621405124664,0.21078112721443176
69,Oval,0.7616261839866638,0.10959061235189438,0.11331620067358017,0.01546698808670044
70,Rectangle,0.0864386186003685,0.8614967465400696,0.02913595736026764,0.022928662598133087
71,Round,0.1431865394115448,0.055321138352155685,0.5182631611824036,0.28322914242744446
72,Oval,0.23228943347930908,0.3695996403694153,0.09572786837816238,0.3023830056190491
